Class,Precision,Recall,mAP@0.5,mAP@0.5:0.95
DP-135,0.9501631734792471,0.8,0.9527999770452734,0.8323974848430651
I-407a,0.9888265194765543,0.9230769230769231,0.9527999770452734,0.8323974848430651
I-409,0.941689540635108,0.8,0.9527999770452734,0.8323974848430651
I-425,0.8527482137023465,1.0,0.9527999770452734,0.8323974848430651
I-434a,0.7400000117640382,0.9600000470561527,0.9527999770452734,0.8323974848430651
P-102,0.928073347721024,0.8066164199545955,0.9527999770452734,0.8323974848430651
P-104,0.9001059721070965,0.8787878787878788,0.9527999770452734,0.8323974848430651
P-105,0.9696930355741894,0.75,0.9527999770452734,0.8323974848430651
P-112,0.9741241342377629,1.0,0.9527999770452734,0.8323974848430651
P-115,1.0,0.5,0.9527999770452734,0.8323974848430651
P-117,0.8471554733122622,0.9242623392846551,0.9527999770452734,0.8323974848430651
P-123a,0.9461213326056125,1.0,0.9527999770452734,0.8323974848430651
P-123b,0.8342372955136407,0.8,0.9527999770452734,0.8323974848430651
P-124a1,0.9956003030348177,1.0,0.9527999770452734,0.8323974848430651
P-124c,0.9050620782155409,1.0,0.9527999770452734,0.8323974848430651
P-127,0.9527337978585126,0.9871794871794872,0.9527999770452734,0.8323974848430651
P-127c,0.8499796633658763,1.0,0.9527999770452734,0.8323974848430651
P-130,0.9557684082935693,0.9675665083855808,0.9527999770452734,0.8323974848430651
P-131a,0.9545301941844917,0.9885057471264368,0.9527999770452734,0.8323974848430651
R-301d,0.9067772515872408,1.0,0.9527999770452734,0.8323974848430651
R-301e,1.0,0.0,0.9527999770452734,0.8323974848430651
R-302a,0.9184799175506168,0.9017590106074006,0.9527999770452734,0.8323974848430651
R-302b,0.941033936338237,1.0,0.9527999770452734,0.8323974848430651
R-303,0.960254448033585,1.0,0.9527999770452734,0.8323974848430651
R-403,0.8408595135978921,1.0,0.9527999770452734,0.8323974848430651
W-201a,0.908431613841375,0.9285714285714286,0.9527999770452734,0.8323974848430651
W-201b,0.80549893839325,0.8333333333333334,0.9527999770452734,0.8323974848430651
W-202a,1.0,0.7350437450227078,0.9527999770452734,0.8323974848430651
W-202b,0.7905569468816607,1.0,0.9527999770452734,0.8323974848430651
W-203c,0.9570031719471267,1.0,0.9527999770452734,0.8323974848430651
W-205a,0.9610160159839909,1.0,0.9527999770452734,0.8323974848430651
W-205d,1.0,0.9198800194651955,0.9527999770452734,0.8323974848430651
W-207a,0.993225781674804,1.0,0.9527999770452734,0.8323974848430651
W-207b,0.9169213091786201,1.0,0.9527999770452734,0.8323974848430651
W-207c,0.966810828854966,0.7777777777777778,0.9527999770452734,0.8323974848430651
W-208,1.0,0.6849817121357925,0.9527999770452734,0.8323974848430651
W-209,0.8437548990238048,1.0,0.9527999770452734,0.8323974848430651
W-210,1.0,0.7120178485665856,0.9527999770452734,0.8323974848430651
W-220,0.8494065185379138,1.0,0.9527999770452734,0.8323974848430651
W-224,0.9947836947052345,0.926829268292683,0.9527999770452734,0.8323974848430651
W-225,0.8373052310616389,1.0,0.9527999770452734,0.8323974848430651
W-233,0.9397146328668228,1.0,0.9527999770452734,0.8323974848430651
W-239b,0.8926759925128741,1.0,0.9527999770452734,0.8323974848430651
W-245a,0.9750329381113796,1.0,0.9527999770452734,0.8323974848430651
